"CREAM CHEESE SPREAD, UPC: 085239401415"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 Tbsp = 30.0g",1Value per 100 g,
Proximates
"Energy",kcal,90
"Protein",g,1.00
"Total lipid (fat)",g,8.00
"Carbohydrate, by difference",g,2.00
"Fiber, total dietary",g,0.0
"Sugars, total",g,2.00
Minerals
"Calcium, Ca",mg,20
"Iron, Fe",mg,0.00
"Sodium, Na",mg,150
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0
"Vitamin A, IU",IU,300
Lipids
"Fatty acids, total saturated",g,5.001
"Fatty acids, total trans",g,0.000
"Cholesterol",mg,25
Amino Acids
Other
Ingredients
"PASTEURIZED MILK AND CREAM, WATER, VEGETABLES (ONION*, BELL PEPPER*, GARLIC*, TOMATO*), WHEY, SALT, CHEESE CULTURE, STABILIZERS (CAROB BEAN AND/OR XANTHAN AND/OR GUAR GUMS), CHEDDAR CHEESE POWDER (MILK, CHEESE CULTURE, SALT, ENZYMES), RED PEPPER, JALAPENO PEPPER*, SUGAR, SORBIC ACID (PRESERVATIVE), WHEY PROTEIN CONCENTRATE, NONFAT MILK, SODIUM PHOSPHATE, HABANERO PEPPER*, MONOSODIUM GLUTAMATE, YEAST EXTRACT, LIME PEEL*, CITRIC ACID, YELLOW 5, YELLOW 6, LACTIC ACID, PARSLEY, NATURAL FLAVOR." Date available: 07/14/2017 Date last updated by company: 07/14/2017
